delta,theta,alpha,beta,gamma,     deltaRIR,thetaRIR,alphaRIR,betaRIR,gammaRIR,     PFD,HFD,hjorth_mobility,hjorth_complexity,     spec_entropy,svd_entropy,fisher_info,     approx_entropy,DFA,Hurst
9.020390327779628237e+00,1.912111716767331826e-01,1.662309225656982969e-01,1.189201419552256889e+00,8.476100222869730416e+00,4.736820261441022084e-01,1.004095077153023714e-02,8.729178821256768084e-03,6.244777858139680810e-02,4.451000656817140078e-01,5.903197182451456193e-01,1.363773647226282248e+00,2.551060749610725362e-02,6.000241203057181139e+01,3.819491514047994030e-01,1.243407800316137513e+00,5.693223321240790114e-01,1.345194199570069749e-02,0.000000000000000000e+00,3.435653341344062084e-01
9.002502002440943230e+00,6.526866471092623856e-02,1.204720655415454228e-01,1.109762837280475090e+00,6.887371855558965805e+00,5.238466272533324197e-01,3.797918608057716111e-03,7.010149533437437692e-03,6.457599445163569873e-02,4.007693101535367286e-01,5.903197182451456193e-01,1.388344652919745403e+00,2.511765811474720930e-02,6.010915056347974428e+01,3.551357864953919030e-01,1.196904700992644566e+00,5.768739038100905159e-01,2.025476783478407858e-02,0.000000000000000000e+00,2.725849124240855015e-01
8.954653056207774853e+00,1.087771521016848986e-01,2.327883040434264028e-01,1.133774228223441538e+00,7.580727738032703833e+00,4.971846110677823893e-01,6.039578051909546413e-03,1.292498566728101685e-02,6.294996524819772288e-02,4.209008599648293436e-01,5.913189358121807571e-01,1.364354268192583763e+00,2.395878361922039110e-02,6.390443051734840907e+01,3.781298963734705532e-01,1.190593723590195774e+00,5.855356446641597490e-01,-4.931806291797445098e-03,0.000000000000000000e+00,3.226916179718506417e-01
9.048052106962915175e+00,6.103329319026223887e-02,2.058339561613151125e-01,1.234517025521487010e+00,8.377647420756130003e+00,4.780478705189524780e-01,3.224653825535637314e-03,1.087510143179720376e-02,6.522489351224920739e-02,4.426274807114655152e-01,5.944240987587744440e-01,1.331245279706033680e+00,2.469267974997823092e-02,6.164890450601333072e+01,3.718987171096337918e-01,1.259929073993437898e+00,5.853011743357799945e-01,7.604061138534454374e-03,0.000000000000000000e+00,3.129527756461822907e-01
9.057798266076106941e+00,1.371508790775156639e-01,2.469494407082441223e-01,1.301711885946430058e+00,8.872787862834595529e+00,4.617462447262748459e-01,6.991644273215276775e-03,1.258892873683785385e-02,6.635835303403198049e-02,4.523148292296400585e-01,5.944240987587744440e-01,1.316223127717303987e+00,2.513427566463915380e-02,6.250537729522591235e+01,3.893251345506600347e-01,1.339370980893699992e+00,5.594855632102421206e-01,5.070365553191361063e-03,0.000000000000000000e+00,nan
9.021581343498155547e+00,6.974977591430879531e-02,2.544305407169372701e-01,1.460095223024537869e+00,9.620354250196992751e+00,4.416668996810745873e-01,3.414719228101227664e-03,1.245608101551027962e-02,7.148145162567935695e-02,4.709808484496345038e-01,5.965898409605003838e-01,1.323352756056957347e+00,2.511084830037613180e-02,6.201375308444256262e+01,3.874283008918610882e-01,1.296793010026684234e+00,5.585076652404178388e-01,2.163856425919910564e-02,0.000000000000000000e+00,3.349984102929183249e-01
8.973999271361201124e+00,8.427600412553638842e-02,1.722333983793726264e-01,1.018675037991516152e+00,7.228177444071974378e+00,5.134642004188695319e-01,4.822009648575797600e-03,9.854656938352414700e-03,5.828540297949424964e-02,4.135737300147080409e-01,5.965898409605003838e-01,1.364782274667817763e+00,2.608326521629888636e-02,5.769491069909898329e+01,3.598666300556934705e-01,1.227034369255258994e+00,5.690326838424357714e-01,3.965870650139794590e-02,0.000000000000000000e+00,nan
8.917140100536267155e+00,5.174033065096603212e-02,6.186102626566556545e-02,1.050691140776173649e+00,7.001142435405870224e+00,5.220021034872527332e-01,3.028836726845413312e-03,3.621293987812935003e-03,6.150660182714857982e-02,4.098411639709403365e-01,5.923356877662105946e-01,1.378609271826092497e+00,2.625851366939884607e-02,5.752045323044696090e+01,3.409786701824994992e-01,1.197090501395842832e+00,5.800650016293954492e-01,3.082215348911369543e-02,0.000000000000000000e+00,2.752812943392645706e-01
8.896890790268402682e+00,8.308012858912036669e-02,1.868882787652169364e-01,1.380849491542488039e+00,8.398202400907592846e+00,4.695942437379087009e-01,4.385121844715731895e-03,9.864306756044141991e-03,7.288377344207101760e-02,4.432725542192605395e-01,5.954969793383102505e-01,1.331354840973630438e+00,2.525889226244089694e-02,5.973066821722801478e+01,3.822484431017439399e-01,1.286224053651019661e+00,5.676805245220307716e-01,2.632988399730703394e-02,0.000000000000000000e+00,2.781791929014730269e-01
8.891248036435653646e+00,9.732845155003283510e-02,1.414554959414142388e-01,1.441242708181080801e+00,8.335812221873156957e+00,4.702600710985672117e-01,5.147723284545794795e-03,7.481612402004207164e-03,7.622764494277096958e-02,4.408829482721118298e-01,5.988382967930719891e-01,1.321290799301439334e+00,2.524556699809462137e-02,6.061768096828790675e+01,3.819708301390229988e-01,1.302366466307962600e+00,5.641556999433261499e-01,5.818289686707453848e-03,0.000000000000000000e+00,3.006811449694209437e-01
9.082091701088764069e+00,1.065442087782327851e-01,1.861923122368879246e-01,1.165666404084550134e+00,8.275731723900387138e+00,4.826733869007635569e-01,5.662357945525556963e-03,9.895305720320960938e-03,6.195006280199470694e-02,4.398188866313952339e-01,5.933705433020527442e-01,1.336923971371179354e+00,2.371575985462020739e-02,6.427148025691764133e+01,3.720966123476964760e-01,1.248775116906402971e+00,5.885026454356809822e-01,-1.380041889797501212e-02,0.000000000000000000e+00,3.359317475267803443e-01
9.090155023943180979e+00,1.375167772848136516e-01,2.108264786426682080e-01,1.339243784573691309e+00,8.037905032108296766e+00,4.831167898343848299e-01,7.308639271301440969e-03,1.120484868582038995e-02,7.117713133655996505e-02,4.271925908719332865e-01,5.944240987587744440e-01,1.312028163672048775e+00,2.182976455718593778e-02,6.886061956479278479e+01,3.888512952823959812e-01,1.222001854740514259e+00,6.028527382293688008e-01,5.521590252504026200e-03,0.000000000000000000e+00,3.718926960640223656e-01
9.099907836977584097e+00,9.059043962423629637e-02,1.970932146827572007e-01,1.096753663915097654e+00,6.011650077154910399e+00,5.516434570209736155e-01,5.491662573141135699e-03,1.194794323753115700e-02,6.648605606795816858e-02,3.644308811003957871e-01,5.944240987587744440e-01,1.325803796405140789e+00,2.149929860065747517e-02,6.867689958814192153e+01,3.664958290796557772e-01,1.135066651595107334e+00,6.195536880169054683e-01,9.745345369174752276e-03,0.000000000000000000e+00,3.509710289252868654e-01
9.193245602961081175e+00,1.682743420898025200e-01,1.567363471579752421e-01,1.151362554552068485e+00,7.156896847511263537e+00,5.157062524515066970e-01,9.439553133979539101e-03,8.792315326563559380e-03,6.458707771603459935e-02,4.014748013719155462e-01,5.933705433020527442e-01,1.350173255466457833e+00,2.147917289717989411e-02,6.917931904293692469e+01,3.753476441488167170e-01,1.180481884371145096e+00,6.142869885002893993e-01,-5.373467318396112254e-03,0.000000000000000000e+00,3.742819957632151917e-01
9.157259628495701520e+00,2.130221370318630680e-01,1.463612700168518133e-01,1.355725059690829015e+00,7.028536071616117376e+00,5.115529105760469042e-01,1.190007694842221304e-02,8.176194266649474546e-03,7.573500461509319326e-02,3.926358135937880744e-01,5.903197182451456193e-01,1.338373284020777820e+00,2.218573304257643458e-02,6.737372656352795275e+01,3.916660876143497338e-01,1.202580490309266947e+00,5.987002727163193150e-01,2.313441252623514577e-02,0.000000000000000000e+00,4.152353184922131235e-01
